model_id,name,status,quality_score,benchmark_count,cheapest_offering,blended_cost_per_1m,context_window,modalities
"aion-2-0","aion-labs/aion-2.0",active,,,"openrouter/aion-2.0",1,131072,"text"
"aion-3-0","aion-labs/aion-3.0",active,,,"openrouter/aion-3.0",3.75,131072,"text"
"aion-3-0-mini","aion-labs/aion-3.0-mini",active,,,"openrouter/aion-3.0-mini",0.8749999999999999,131072,"text"
"aion-rp-llama-3-1-8b","aion-labs/aion-rp-llama-3.1-8b",active,,,"openrouter/aion-rp-llama-3.1-8b",1,32768,"text"
"all-minilm-l12-v2","sentence-transformers/all-MiniLM-L12-v2",active,,,,,,"text"
"all-minilm-l6-v2","sentence-transformers/all-MiniLM-L6-v2",active,,,,,,"text"
"all-mpnet-base-v2","sentence-transformers/all-mpnet-base-v2",active,,,,,,"text"
"allam-2-7b","allam-2-7b",active,,,,,4096,"text"
"antigravity-preview-05-2026","Antigravity Agent Preview",active,,,,,131072,"text"
"aqa","Model that performs Attributed Question Answering.",active,,,,,7168,"text"
"arrow-1-1","Arrow 1.1",active,,,,,131072,"text|image"
"audio8-tts-preview-0-6b","Audio8/Audio8-TTS-Preview-0.6b",active,,,,,,"text|audio"
"auto","openrouter/auto",active,,,,,2000000,"text"
"auto-beta","openrouter/auto-beta",active,,,,,2000000,"text"
"babbage-002","babbage-002",active,,,,,,"text"
"baichuan-m2-32b","novita/baichuan/baichuan-m2-32b",active,,,"requesty/baichuan-m2-32b",0.07,131072,"text"
"bge-base-en-v1-5","BAAI/bge-base-en-v1.5",active,,,,,,"text|embedding"
"bge-en-icl","BAAI/bge-en-icl",active,,,,,,"text|embedding"
"bge-large-en-v1-5","BAAI/bge-large-en-v1.5",active,,,,,,"text|embedding"
"bge-m3","BAAI/bge-m3",active,,,,,,"text|embedding"
"bge-m3-multi","BAAI/bge-m3-multi",active,,,,,,"text|embedding"
"bge-m3-multi-8k","BAAI/bge-m3-multi-8k",active,,,,,,"text|embedding"
"blur-background","Bria/blur_background",active,,,,,,"image"
"bodybuilder","openrouter/bodybuilder",active,,,,,128000,"text"
"bria-3-2","Bria/Bria-3.2",active,,,,,,"image"
"bria-3-2-vector","Bria/Bria-3.2-vector",active,,,,,,"image"
"chat-latest","chat-latest",active,,,,,,"text"
"chatgpt-image-latest","chatgpt-image-latest",active,,,,,,"image"
"chatterbox-multilingual","ResembleAI/chatterbox-multilingual",active,,,,,,"text|audio"
"chatterbox-turbo","ResembleAI/chatterbox-turbo",active,,,,,,"text|audio"
"claude-3-5-haiku","Claude 3.5 Haiku",discontinued,,,,,200000,"text|image"
"claude-3-5-sonnet","Claude 3.5 Sonnet",discontinued,,,,,200000,"text|image"
"claude-3-haiku","anthropic/claude-3-haiku",active,,,"openrouter/claude-3-haiku",0.5,200000,"text|image"
"claude-fable-5","Claude Fable 5",active,94.13,2,"anthropic/claude-fable-5",20,1000000,"text|image"
"claude-fable-5-1","Claude Fable 5.1",active,,,"openrouter/claude-fable-5.1",20,1000000,"text|image"
"claude-fable-5-1-batch","anthropic/claude-fable-5.1:batch",active,,,"openrouter/claude-fable-5.1-batch",10,1000000,"text"
"claude-fable-5-1-eu","vertex/claude-fable-5.1@eu",active,,,"requesty/claude-fable-5.1-eu",22,1000000,"text|image"
"claude-fable-5-batch","anthropic/claude-fable-5:batch",active,,,"openrouter/claude-fable-5-batch",10,1000000,"text"
"claude-fable-5-eu","vertex/claude-fable-5@eu",active,,,"requesty/claude-fable-5-eu",22,1000000,"text|image"
"claude-fable-5-us-east-1","bedrock/claude-fable-5@us-east-1",active,,,"requesty/claude-fable-5-us-east-1",22,1000000,"text|image"
"claude-fable-latest","~anthropic/claude-fable-latest",active,,,"openrouter/claude-fable-latest",20,1000000,"text"
"claude-haiku-4-5","anthropic/claude-haiku-4-5",active,,,"openrouter/claude-haiku-4.5",2,200000,"text|image"
"claude-haiku-4-5-20251001","Claude Haiku 4.5",active,,,,,,"text|image"
"claude-haiku-4-5-ap-northeast-1","bedrock/claude-haiku-4-5@ap-northeast-1",active,,,"requesty/claude-haiku-4-5-ap-northeast-1",2.2,200000,"text|image"
"claude-haiku-4-5-batch","anthropic/claude-haiku-4.5:batch",active,,,"openrouter/claude-haiku-4.5-batch",1,200000,"text|image"
"claude-haiku-4-5-eu-central-1","bedrock/claude-haiku-4-5@eu-central-1",active,,,"requesty/claude-haiku-4-5-eu-central-1",2.2,200000,"text|image"
"claude-haiku-4-5-eu-north-1","bedrock/claude-haiku-4-5@eu-north-1",active,,,"requesty/claude-haiku-4-5-eu-north-1",2.2,200000,"text|image"
